query,precision,recall,f1_score
population growth,0.06349206349206349,0.21052631578947367,0.0975609756097561
crime rate by borough,0.2545454545454545,0.13658536585365855,0.17777777777777778
air pollution levels,0.008620689655172414,0.015873015873015872,0.011173184357541898
public transport usage,0.038461538461538464,0.1,0.05555555555555555
average house prices,0.047619047619047616,0.09375,0.06315789473684211
unemployment statistics,0.02702702702702703,0.0035842293906810036,0.006329113924050634
NHS waiting times,0.0,0.0,0.0
energy consumption trends,0.0641025641025641,0.3225806451612903,0.10695187165775401
green space data,0.1111111111111111,0.47368421052631576,0.18
business startup rates,0.0,0.0,0.0
ethnic diversity,0.01020408163265306,0.0035211267605633804,0.005235602094240837
road traffic accidents,0.0,0.0,0.0
homelessness numbers,0.14678899082568808,0.25396825396825395,0.18604651162790697
broadband coverage,0.0,0.0,0.0
waste recycling rates,0.0,0.0,0.0
tourist visits,0.1951219512195122,0.5333333333333333,0.2857142857142857
school performance data,0.041666666666666664,0.06666666666666667,0.05128205128205127
CO2 emissions,0.40425531914893614,0.6551724137931034,0.4999999999999999
traffic congestion,0.023809523809523808,1.0,0.046511627906976744
obesity rates,0.08,0.2222222222222222,0.11764705882352941
