query,bert_precision,bert_recall,bert_f1_score
population growth,0.4084406793117523,0.2520647644996643,0.3097485899925232
crime rate by borough,0.45119422674179077,0.20968842506408691,0.2857851982116699
air pollution levels,0.4410799443721771,0.23036713898181915,0.3018055260181427
public transport usage,0.5078925490379333,0.28686028718948364,0.3649343252182007
average house prices,0.4311937093734741,0.23277007043361664,0.30164939165115356
unemployment statistics,0.43102407455444336,0.2615644931793213,0.32497361302375793
NHS waiting times,0.0,0.0,0.0
energy consumption trends,0.4928630292415619,0.2602413296699524,0.34018099308013916
green space data,0.4378483295440674,0.25851964950561523,0.32466432452201843
business startup rates,0.0,0.0,0.0
ethnic diversity,0.4285799264907837,0.28777357935905457,0.3420676589012146
road traffic accidents,0.44087621569633484,0.25133928656578064,0.31935471296310425
homelessness numbers,0.4252691864967346,0.22433342039585114,0.29366710782051086
broadband coverage,0.0,0.0,0.0
waste recycling rates,0.4803626537322998,0.1887195110321045,0.2709795832633972
tourist visits,0.4753709137439728,0.24568355083465576,0.32330211997032166
school performance data,0.4840146601200104,0.2453034371137619,0.32549235224723816
CO2 emissions,0.4146116375923157,0.21548865735530853,0.2825125753879547
traffic congestion,0.46404752135276794,0.24511337280273438,0.3196045458316803
obesity rates,0.43804800510406494,0.20993180572986603,0.28362837433815
