Dataset,Missing Metadata
http://example.org/ontology/Dataset_1,None
http://example.org/ontology/Dataset_10,None
http://example.org/ontology/Dataset_100,None
http://example.org/ontology/Dataset_1000,"summary, topic"
http://example.org/ontology/Dataset_10000,"summary, topic"
http://example.org/ontology/Dataset_10001,"summary, topic"
http://example.org/ontology/Dataset_10002,"summary, topic"
http://example.org/ontology/Dataset_10003,"summary, topic"
http://example.org/ontology/Dataset_10004,"summary, topic"
http://example.org/ontology/Dataset_10005,"summary, topic"
http://example.org/ontology/Dataset_10006,None
http://example.org/ontology/Dataset_10007,"summary, topic"
http://example.org/ontology/Dataset_10008,"summary, topic"
http://example.org/ontology/Dataset_10009,"summary, topic"
http://example.org/ontology/Dataset_1001,"summary, topic"
http://example.org/ontology/Dataset_10010,"summary, topic"
http://example.org/ontology/Dataset_10011,None
http://example.org/ontology/Dataset_10012,None
http://example.org/ontology/Dataset_10013,None
http://example.org/ontology/Dataset_10014,None
http://example.org/ontology/Dataset_10015,None
http://example.org/ontology/Dataset_10016,None
http://example.org/ontology/Dataset_10017,None
http://example.org/ontology/Dataset_10018,None
http://example.org/ontology/Dataset_10019,None
http://example.org/ontology/Dataset_1002,"summary, topic"
http://example.org/ontology/Dataset_10020,None
http://example.org/ontology/Dataset_10021,None
http://example.org/ontology/Dataset_10022,None
http://example.org/ontology/Dataset_10023,topic
http://example.org/ontology/Dataset_10024,topic
http://example.org/ontology/Dataset_10025,None
http://example.org/ontology/Dataset_10026,None
http://example.org/ontology/Dataset_10027,None
http://example.org/ontology/Dataset_10028,None
http://example.org/ontology/Dataset_10029,None
http://example.org/ontology/Dataset_1003,"summary, topic"
http://example.org/ontology/Dataset_10030,None
http://example.org/ontology/Dataset_10031,None
http://example.org/ontology/Dataset_10032,None
http://example.org/ontology/Dataset_10033,None
http://example.org/ontology/Dataset_10034,None
http://example.org/ontology/Dataset_10035,None
http://example.org/ontology/Dataset_10036,None
http://example.org/ontology/Dataset_10037,None
http://example.org/ontology/Dataset_10038,None
http://example.org/ontology/Dataset_10039,None
http://example.org/ontology/Dataset_1004,"summary, topic"
http://example.org/ontology/Dataset_10040,None
http://example.org/ontology/Dataset_10041,None
http://example.org/ontology/Dataset_10042,None
http://example.org/ontology/Dataset_10043,None
http://example.org/ontology/Dataset_10044,None
http://example.org/ontology/Dataset_10045,None
http://example.org/ontology/Dataset_10046,None
http://example.org/ontology/Dataset_10047,None
http://example.org/ontology/Dataset_10048,None
http://example.org/ontology/Dataset_10049,None
http://example.org/ontology/Dataset_1005,"summary, topic"
http://example.org/ontology/Dataset_10050,None
http://example.org/ontology/Dataset_10051,None
http://example.org/ontology/Dataset_10052,None
http://example.org/ontology/Dataset_10053,None
http://example.org/ontology/Dataset_10054,None
http://example.org/ontology/Dataset_10055,None
http://example.org/ontology/Dataset_10056,None
http://example.org/ontology/Dataset_10057,None
http://example.org/ontology/Dataset_10058,None
http://example.org/ontology/Dataset_10059,None
http://example.org/ontology/Dataset_1006,"summary, topic"
http://example.org/ontology/Dataset_10060,None
http://example.org/ontology/Dataset_10061,None
http://example.org/ontology/Dataset_10062,None
http://example.org/ontology/Dataset_10063,None
http://example.org/ontology/Dataset_10064,None
http://example.org/ontology/Dataset_10065,None
http://example.org/ontology/Dataset_10066,None
http://example.org/ontology/Dataset_10067,None
http://example.org/ontology/Dataset_10068,None
http://example.org/ontology/Dataset_10069,topic
http://example.org/ontology/Dataset_1007,"summary, topic"
http://example.org/ontology/Dataset_10070,topic
http://example.org/ontology/Dataset_10071,topic
http://example.org/ontology/Dataset_10072,topic
http://example.org/ontology/Dataset_10073,topic
http://example.org/ontology/Dataset_10074,topic
http://example.org/ontology/Dataset_10075,None
http://example.org/ontology/Dataset_10076,None
http://example.org/ontology/Dataset_10077,"summary, topic"
http://example.org/ontology/Dataset_10078,"summary, topic"
http://example.org/ontology/Dataset_10079,"summary, topic"
http://example.org/ontology/Dataset_1008,"summary, topic"
http://example.org/ontology/Dataset_10080,"summary, topic"
http://example.org/ontology/Dataset_10081,"summary, topic"
http://example.org/ontology/Dataset_10082,"summary, topic"
http://example.org/ontology/Dataset_10083,"summary, topic"
http://example.org/ontology/Dataset_10084,"summary, topic"
http://example.org/ontology/Dataset_10085,"summary, topic"
http://example.org/ontology/Dataset_10086,"summary, topic"
http://example.org/ontology/Dataset_10087,"summary, topic"
http://example.org/ontology/Dataset_10088,"summary, topic"
http://example.org/ontology/Dataset_10089,"summary, topic"
http://example.org/ontology/Dataset_1009,"summary, topic"
http://example.org/ontology/Dataset_10090,"summary, topic"
http://example.org/ontology/Dataset_10091,"summary, topic"
http://example.org/ontology/Dataset_10092,"summary, topic"
http://example.org/ontology/Dataset_10093,"summary, topic"
http://example.org/ontology/Dataset_10094,"summary, topic"
http://example.org/ontology/Dataset_10095,"summary, topic"
http://example.org/ontology/Dataset_10096,"summary, topic"
http://example.org/ontology/Dataset_10097,"summary, topic"
http://example.org/ontology/Dataset_10098,"summary, topic"
http://example.org/ontology/Dataset_10099,"summary, topic"
http://example.org/ontology/Dataset_101,fileFormat
http://example.org/ontology/Dataset_1010,"summary, topic"
http://example.org/ontology/Dataset_10100,"summary, topic"
http://example.org/ontology/Dataset_10101,"summary, topic"
http://example.org/ontology/Dataset_10102,"summary, topic"
http://example.org/ontology/Dataset_10103,"summary, topic"
http://example.org/ontology/Dataset_10104,"summary, topic"
http://example.org/ontology/Dataset_10105,"summary, topic"
http://example.org/ontology/Dataset_10106,"summary, topic"
http://example.org/ontology/Dataset_10107,"summary, topic"
http://example.org/ontology/Dataset_10108,"summary, topic"
http://example.org/ontology/Dataset_10109,"summary, topic"
http://example.org/ontology/Dataset_1011,"summary, topic"
http://example.org/ontology/Dataset_10110,"summary, topic"
http://example.org/ontology/Dataset_10111,"summary, topic"
http://example.org/ontology/Dataset_10112,"summary, topic"
http://example.org/ontology/Dataset_10113,"summary, topic"
http://example.org/ontology/Dataset_10114,"summary, topic"
http://example.org/ontology/Dataset_10115,"summary, topic"
http://example.org/ontology/Dataset_10116,"summary, topic"
http://example.org/ontology/Dataset_10117,"summary, topic"
http://example.org/ontology/Dataset_10118,"summary, topic"
